27,20.81275658
26.93824228,20.81136507
26.52652415,20.80493259
26.11480602,20.79022979
25.70308789,20.76491998
25.29136975,20.7122262
24.87965162,20.64748137
24.46793349,20.5643843
24.05621536,20.45776276
23.64449723,20.33305152
19.52731591,16.92851349
17.46872526,13.90451539
15.4101346,10.23750615
13.35154394,6.629360607
11.29295329,3.308786057
9.234362629,0.892381107
8.410926366,0.303717809
7.587490103,0
6.76405384,0.031269699
5.940617577,0.45948871
5.117181314,1.319077328
4.293745051,2.702846969
3.470308789,4.694551079
2.646872526,7.342183789
1.823436263,10.75333808
1,15.04721165
